"","Brazil","France","United Kingdom","Greece","Ireland","South Africa","Spain","Marroco","USA","India","Japan","Australia","Mexico","China","Saudi Arabia"
"95",0,0,0,1,1,1,0,0,0,0,1,1,0,0,0
"96",1,1,1,0,0,1,1,0,1,1,1,1,0,1,0
"97",1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
"98",1,1,1,0,1,1,0,0,1,0,0,0,1,0,1
"99",0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
"100",0,1,1,1,1,1,1,0,0,0,1,1,0,0,0
"101",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"102",1,0,0,1,1,0,0,1,0,0,1,1,1,0,1
"103",1,1,0,1,1,1,1,1,1,0,0,1,1,0,1
"104",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"105",1,1,1,0,0,0,0,0,1,1,0,1,0,0,1
"106",1,0,0,1,0,1,0,1,0,1,0,1,1,1,0
"107",0,0,1,1,1,1,1,0,1,1,1,1,1,1,1
"108",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"109",0,1,0,0,1,1,0,0,0,1,0,0,1,1,0
"110",1,0,0,0,0,1,0,0,1,1,0,0,1,1,1
"111",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"112",0,0,1,0,0,0,1,1,0,0,0,0,0,1,1
"113",1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
"114",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"115",1,0,1,0,1,1,0,1,1,0,0,1,1,1,1
"116",1,0,1,1,1,1,0,1,0,1,1,1,1,0,0
"117",1,1,1,1,1,1,1,0,1,0,0,0,1,1,0
"118",1,0,0,1,0,0,0,0,0,0,1,1,0,0,1
"119",0,0,1,1,0,1,0,0,0,1,0,1,0,1,1
"120",1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"121",0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
"122",1,1,1,1,1,0,0,1,0,0,0,1,1,0,0
"123",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
"124",0,1,0,0,1,0,1,1,1,1,1,1,1,0,1
"125",1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"126",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"127",1,1,1,1,1,0,0,0,0,0,0,1,1,0,1
"128",0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
"129",0,1,0,1,1,1,1,1,0,0,1,1,1,1,1
"130",1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
"131",0,1,0,1,0,0,1,1,1,1,0,1,0,0,1
"132",0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
"133",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"134",1,1,0,0,1,1,0,0,1,1,0,0,0,0,0
"135",0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
"136",0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
"137",0,0,0,0,0,0,0,1,0,1,0,1,0,1,1
"138",1,0,1,0,1,0,0,0,1,0,0,1,0,1,1
"139",0,0,1,0,0,1,0,0,1,0,1,1,1,1,0
"140",0,1,0,1,1,1,0,1,0,1,1,1,0,1,1
"141",0,1,1,1,1,0,1,1,1,0,0,0,0,1,0
"142",0,1,1,1,1,1,1,0,1,1,1,1,0,0,1
"143",0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"144",1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
"145",1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
"146",0,1,1,0,1,0,0,0,0,1,1,0,0,1,0
"147",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
"148",1,1,1,0,0,1,1,1,1,0,1,1,0,1,0
"149",0,0,0,0,0,0,1,0,0,1,1,1,1,0,1
"150",1,0,0,1,1,1,0,0,1,1,1,1,0,0,1
"151",0,0,0,0,0,1,1,0,1,0,1,1,1,1,0
"152",1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
"153",0,1,1,1,1,0,0,0,0,1,1,1,0,0,1
"154",0,1,1,0,1,0,1,0,1,0,0,0,0,1,0
"155",0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
"156",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"157",0,1,0,1,1,0,1,1,0,0,1,0,1,0,1
"158",1,1,0,0,1,0,0,0,0,0,1,0,1,1,0
"159",0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
"160",1,1,0,0,0,0,0,0,1,1,1,0,1,0,1
"161",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"162",1,1,0,0,1,0,1,1,1,0,1,0,0,1,0
"163",1,1,0,1,0,1,1,0,1,1,1,1,1,1,0
"164",1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
"165",1,1,1,0,1,0,0,1,1,1,0,1,0,1,1
"166",1,0,0,0,0,0,0,1,1,0,1,0,0,1,1
"167",1,0,1,1,1,1,1,0,0,1,0,1,1,0,0
"168",1,0,1,0,0,1,0,1,0,1,1,0,0,0,1
"169",1,0,0,1,1,1,0,0,1,0,0,0,1,1,1
"170",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"171",1,1,1,1,1,1,1,0,1,1,0,1,1,0,0
"172",0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
"173",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"174",0,1,1,1,1,1,1,1,0,0,0,0,0,1,1
"175",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"176",0,1,1,1,1,1,1,0,0,0,0,0,1,0,1
"177",1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"178",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"179",1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
"180",1,0,0,0,1,0,1,0,0,0,1,1,0,1,0
"181",0,1,1,0,1,1,1,1,1,1,1,1,0,1,0
"182",1,1,1,0,0,0,1,1,1,0,0,1,1,0,0
"183",1,0,0,0,0,1,0,1,1,1,0,0,1,1,0
"184",0,0,1,1,0,1,0,0,1,0,1,1,1,1,1
"185",0,1,1,1,0,1,1,0,1,1,1,1,0,1,0
"186",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"187",1,0,0,1,1,1,0,0,1,1,0,1,1,0,0
"188",1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
"189",1,1,1,1,1,1,1,0,1,1,0,0,1,0,1
"190",1,0,0,1,0,1,0,1,1,1,1,1,0,0,1
"191",1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
"192",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"193",0,0,0,1,1,1,0,1,1,1,1,1,1,1,0
"194",1,0,0,1,0,1,0,1,0,0,0,0,1,1,1
"195",1,1,0,0,1,0,0,1,1,0,0,1,1,0,1
"196",0,0,0,0,0,1,0,1,1,0,0,0,0,1,1
"197",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"198",1,1,1,1,1,0,1,1,1,1,1,0,0,1,1
"199",1,0,0,1,0,1,0,1,0,1,0,1,1,0,1
"200",0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
"201",0,0,0,1,0,0,1,1,1,0,0,1,0,1,0
"202",1,0,0,0,0,0,0,1,1,1,1,0,1,1,1
"203",1,0,0,0,0,0,0,1,1,1,1,0,1,0,1
"204",0,1,1,1,1,0,1,0,1,0,1,1,1,0,0
"205",0,0,1,1,0,0,0,1,0,1,0,0,0,1,0
"206",0,0,1,1,0,0,1,0,1,1,1,1,0,1,0
"207",1,0,1,0,1,0,0,0,1,0,1,1,1,1,0
"208",1,1,0,0,1,1,1,0,1,0,0,0,1,0,0
"209",1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"210",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"211",0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"212",1,0,1,1,0,0,1,0,1,1,1,1,0,1,1
"213",1,1,1,0,0,1,1,1,1,1,0,0,1,1,1
"214",1,0,1,1,0,0,0,1,0,1,1,1,0,1,0
"215",1,1,1,1,0,1,0,1,1,1,1,1,0,0,1
"216",1,1,1,1,0,1,0,0,1,1,0,0,1,1,1
"217",0,1,1,1,1,0,1,0,1,1,1,0,0,0,0
"218",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
"219",0,0,0,0,0,0,0,1,1,0,0,1,0,1,1
"220",1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
"221",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"222",1,1,1,0,0,1,1,0,1,1,0,1,1,1,0
"223",0,1,0,1,1,0,1,1,1,0,1,0,1,0,1
"224",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"225",0,0,0,1,1,1,0,1,0,0,0,1,0,0,1
"226",0,0,1,0,0,1,0,0,0,1,0,1,1,1,0
"227",1,0,1,1,1,1,0,1,1,0,1,1,1,0,0
"228",0,1,0,0,1,0,1,0,1,0,0,0,0,1,1
"229",0,1,0,1,1,0,0,0,0,1,0,0,1,1,1
"230",0,1,0,1,0,0,1,0,1,1,0,1,0,0,1
"231",1,1,1,1,0,1,0,1,1,1,1,1,0,0,1
"232",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"233",1,0,0,1,0,0,0,0,1,0,0,1,1,1,0
"234",1,1,1,1,1,0,1,0,0,1,1,1,1,1,1
"235",1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"236",0,0,0,1,1,1,1,0,0,0,0,0,1,0,0
"237",0,1,1,1,0,1,0,0,0,1,1,1,1,1,1
"238",1,1,1,0,1,1,1,0,1,0,0,1,1,1,1
"239",1,0,1,0,1,1,0,1,1,1,1,1,0,1,0
"240",0,1,0,0,1,0,1,1,1,1,1,0,0,0,0
"241",0,1,0,1,1,0,1,0,1,0,0,0,1,0,0
"242",0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
"243",1,1,0,0,0,0,1,1,0,1,0,0,1,1,0
"244",0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
"245",0,1,1,1,1,0,1,1,1,1,1,0,1,0,0
"246",0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
"247",0,1,1,0,1,0,0,0,0,1,0,1,0,1,1
"248",1,0,0,1,1,0,1,0,1,1,1,0,1,1,0
"249",0,0,0,1,0,1,0,1,0,1,0,1,1,1,1
"250",1,1,1,0,1,1,1,1,1,0,1,1,0,0,1
"251",0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
"252",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"253",1,1,1,0,1,1,1,0,1,1,0,1,1,1,1
"254",1,1,1,0,0,0,0,1,1,1,1,1,1,1,0
"255",0,0,1,0,0,0,0,0,1,1,1,0,0,1,0
"256",1,1,0,1,1,1,1,0,1,1,0,1,1,1,1
"257",1,0,0,0,0,0,0,1,1,0,0,0,1,1,1
"258",0,0,0,1,1,0,0,1,0,1,1,1,0,0,1
"259",0,0,1,1,0,1,0,1,1,1,1,0,1,1,0
"260",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"261",1,0,1,1,0,1,0,0,0,1,0,1,1,0,0
"262",1,0,1,0,0,1,0,1,1,1,0,1,0,0,0
"263",1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
"264",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"265",1,0,1,1,1,1,0,0,0,1,0,1,1,0,0
"266",1,1,1,1,0,1,1,1,0,1,0,1,1,0,1
"267",0,1,1,0,1,0,0,1,0,0,0,1,1,1,1
"268",1,0,0,1,0,0,0,0,0,0,0,1,1,1,1
"269",1,1,1,0,0,1,1,0,1,0,1,1,1,0,0
"270",0,1,1,1,1,1,0,1,1,0,1,1,0,1,0
"271",1,1,1,0,1,0,1,1,1,0,1,0,0,0,1
"272",0,1,1,0,0,1,1,1,1,0,1,1,0,0,0
"273",0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"274",1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
"275",1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
"276",1,1,0,1,1,0,0,1,1,0,0,0,1,0,1
"277",0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
"278",1,1,1,1,1,0,1,0,0,1,1,0,0,0,1
"279",0,1,0,1,0,0,1,0,1,1,0,0,0,1,0
"280",1,0,0,0,0,0,0,1,0,1,1,1,1,1,1
"281",1,1,1,1,1,1,0,0,1,0,1,1,0,1,0
"282",0,1,1,1,1,1,1,1,1,0,0,1,1,1,0
"283",0,0,0,1,1,0,0,1,1,0,1,0,0,1,1
"284",0,0,0,1,0,0,0,0,0,1,1,1,0,1,1
"285",0,1,1,1,1,0,0,1,1,0,0,0,0,0,1
"286",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"287",1,0,0,0,1,0,0,0,1,0,0,0,1,1,1
"288",0,0,0,0,0,0,0,1,0,1,1,0,0,1,1
"289",1,0,1,0,1,0,1,1,0,0,0,0,1,0,1
"290",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"291",0,0,1,0,0,1,0,0,0,0,1,1,0,1,1
"292",1,1,0,0,0,1,1,0,1,1,0,0,1,1,1
"293",1,1,1,1,1,0,1,1,0,1,1,1,0,0,1
"294",0,1,1,0,1,1,1,0,1,0,1,1,1,1,1
"295",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"296",1,1,0,1,1,1,1,1,0,0,1,0,0,0,0
"297",1,0,1,1,0,0,0,1,0,0,1,0,1,1,1
"298",0,1,1,1,0,1,1,1,0,0,1,1,0,1,1
"299",1,1,1,1,1,1,1,0,1,1,0,1,1,0,0
"300",1,0,0,0,0,0,0,1,1,0,1,0,1,1,0
"301",0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
"302",1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
"303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
